UPS,Sku,Qty,Price,Markup Percentage,MAP,Domestic Shipping,Markup Price,Retail Price,Category
,"mrs-AC06LG",0,,,,,,,Discontinued
,"mrs-AC07",0,,,,,,,Discontinued
,"mrs-AC112",0,,,,,,,Discontinued
,"mrs-AC117SM",0,,,,,,,Discontinued
,"mrs-AC123",0,,,,,,,Discontinued
,"mrs-AC134MD",0,,,,,,,Discontinued
,"mrs-AC145",0,,,,,,,Discontinued
,"mrs-AC147MD",0,,,,,,,Discontinued
,"mrs-AC148LG",0,,,,,,,Discontinued
,"mrs-AC149LG",0,,,,,,,Discontinued
,"mrs-AC149SM",0,,,,,,,Discontinued
,"mrs-AC150MD",0,,,,,,,Discontinued
,"mrs-AC154LG",0,,,,,,,Discontinued
,"mrs-AC155",0,,,,,,,Discontinued
,"mrs-AC170LG",0,,,,,,,Discontinued
,"mrs-AC170XL",0,,,,,,,Discontinued
,"mrs-AC173",0,,,,,,,Discontinued
,"mrs-AC175",0,,,,,,,Discontinued
,"mrs-AC177",0,,,,,,,Discontinued
,"mrs-AC179",0,,,,,,,Discontinued
,"mrs-AC181",0,,,,,,,Discontinued
,"mrs-AC183",0,,,,,,,Discontinued
,"mrs-AC185",0,,,,,,,Discontinued
,"mrs-AC191LG",0,,,,,,,Discontinued
,"mrs-AC191SM",0,,,,,,,Discontinued
,"mrs-AC204MD",0,,,,,,,Discontinued
,"mrs-AC207LG",0,,,,,,,Discontinued
,"mrs-AC207XL",0,,,,,,,Discontinued
,"mrs-AC208MD",0,,,,,,,Discontinued
,"mrs-AC219BK",0,,,,,,,Discontinued
,"mrs-AC22",0,,,,,,,Discontinued
,"mrs-AC228XL",0,,,,,,,Discontinued
,"mrs-AC234LG",0,,,,,,,Discontinued
,"mrs-AC246",0,,,,,,,Discontinued
,"mrs-AC250SM",0,,,,,,,Discontinued
,"mrs-AC252PK",0,,,,,,,Discontinued
,"mrs-AC252TU",0,,,,,,,Discontinued
,"mrs-AC256",0,,,,,,,Discontinued
,"mrs-AC257XL",0,,,,,,,Discontinued
,"mrs-AC271",0,,,,,,,Discontinued
,"mrs-AC29150",0,,,,,,,Discontinued
,"mrs-AC299MD",0,,,,,,,Discontinued
,"mrs-AC302",0,,,,,,,Discontinued
,"mrs-AC307",0,,,,,,,Discontinued
,"mrs-AC31",0,,,,,,,Discontinued
,"mrs-AC310SD",0,,,,,,,Discontinued
,"mrs-AC31XL",0,,,,,,,Discontinued
,"mrs-AC38MD",0,,,,,,,Discontinued
,"mrs-AC38XL",0,,,,,,,Discontinued
,"mrs-AC45",0,,,,,,,Discontinued
,"mrs-AC60",0,,,,,,,Discontinued
,"mrs-AC71",0,,,,,,,Discontinued
,"mrs-AC80",0,,,,,,,Discontinued
,"mrs-AC98",0,,,,,,,Discontinued
,"mrs-AD02",0,,,,,,,Discontinued
,"mrs-AD20",0,,,,,,,Discontinued
,"mrs-AD22",0,,,,,,,Discontinued
,"mrs-AD74",0,,,,,,,Discontinued
,"mrs-AD77SM",0,,,,,,,Discontinued
,"mrs-AD78PRMD",0,,,,,,,Discontinued
,"mrs-AD78RDLG",0,,,,,,,Discontinued
,"mrs-AD78RDXL",0,,,,,,,Discontinued
,"mrs-AD92PR",0,,,,,,,Discontinued
,"mrs-AE03",0,,,,,,,Discontinued
,"mrs-AE04XL",0,,,,,,,Discontinued
,"mrs-AE09",0,,,,,,,Discontinued
,"mrs-AE11",0,,,,,,,Discontinued
,"mrs-AE13LG",0,,,,,,,Discontinued
,"mrs-AE13SM",0,,,,,,,Discontinued
,"mrs-AE19LG",0,,,,,,,Discontinued
